specobjid,objid,ra,dec,p_el_debiased,p_cs_debiased,spiral,elliptical,petroR50_r,petroR90_r,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z
841086575432460288,1237656241706827818,354.931,14.502111,0.0,1.0,1,0,3.7828856,7.532045,18.01773,16.542751,15.89718,15.526807,15.297224,0.19709744,0.14502242,0.10518236,0.079756595,0.05654842
842259204566706176,1237656495111536838,354.96167,14.364528,0.0170000009238719,0.9829999804496764,1,0,2.3676665,6.473516,19.548262,17.912981,17.03183,16.541033,16.224283,0.19105712,0.140578,0.10195889,0.07731234,0.054815415
433544061815646208,1237666407366328464,354.65726,-0.55580556,0.0040000001899898,0.9359999895095824,1,0,2.8976138,8.208967,19.317158,17.678467,16.792593,16.319262,15.938889,0.15869957,0.11676963,0.08469108,0.06421868,0.045531843
433545436205180928,1237666407366393985,354.76782,-0.497,0.0370000004768371,0.9629999995231628,1,0,2.6406584,6.1051297,19.359447,17.982822,17.33577,16.896662,16.620398,0.18211351,0.1339974,0.09718609,0.07369327,0.052249447
432356589895182336,1237657190902857915,354.67117,-0.12952778,0.0280000008642673,0.972000002861023,1,0,2.283777,4.6285977,19.475824,18.149374,17.510637,17.14182,16.897438,0.18394491,0.13534492,0.098163426,0.074434355,0.052774884
842235290188802048,1237656241707221199,355.92325,14.579361,0.0780000016093254,0.921999990940094,1,0,2.1437643,6.750776,19.111324,17.084017,16.1602,15.728304,15.394792,0.17374353,0.12783884,0.09271939,0.07030631,0.049848046
842227043851593728,1237656241707286756,356.07788,14.58225,0.0099999997764825,0.9900000095367432,1,0,3.6711674,6.9331126,18.463575,17.16762,16.492928,16.11156,15.857713,0.16960602,0.1247945,0.09051138,0.06863204,0.04866097
432373082569598976,1237656906352296219,353.62628,-0.985,0.9350000023841858,0.0320000015199184,0,1,2.1577463,7.5741787,21.623163,19.535633,17.90437,17.325918,16.939476,0.24702543,0.18175897,0.13182676,0.099960245,0.07087306
432372807691692032,1237656906352361577,353.7379,-0.982,0.0419999994337558,0.9409999847412108,1,0,3.206987,6.642277,18.554129,17.198357,16.540657,16.159616,15.905098,0.21464254,0.15793194,0.11454541,0.08685632,0.061582215
432358514040530944,0,353.83276,-1.0477778,0.0089999996125698,0.99099999666214,1,0,2.4564667,5.650485,19.917309,18.465225,17.734383,17.318563,17.010303,0.21145196,0.15558435,0.11284275,0.08556524,0.060666822
433526744507508736,1237663275778244739,355.33917,-1.1108055,0.0260000005364418,0.9739999771118164,1,0,3.2973466,7.651293,19.736063,18.054289,17.1915,16.712267,16.354324,0.15861644,0.11670847,0.08464672,0.064185046,0.045507994
432520966883534848,1237666408440004723,354.4262,0.30391666,0.9290000200271606,0.0710000023245811,0,1,2.2559748,7.465081,19.52014,17.461021,16.430477,15.988269,15.614971,0.19753738,0.14534612,0.10541713,0.07993462,0.056674644
433518773048207360,1237663783658520774,355.429,-0.281,0.0189999993890523,0.9179999828338624,1,0,2.7407372,5.7454267,18.260675,17.124063,16.586027,16.207989,15.97459,0.16714351,0.12298261,0.08919724,0.067635566,0.047954462
841223189752211456,1237656242780832138,355.62476,15.377389,0.061999998986721,0.9089999794960022,1,0,2.7629519,5.7686934,19.944035,18.657425,17.80748,17.352636,17.07469,0.24365039,0.17927563,0.13002566,0.09859451,0.06990474
432387925976573952,1237666407365935219,353.7004,-0.5153889,0.0149999996647238,0.9850000143051147,1,0,3.22995,6.5531383,19.128815,17.768785,17.097105,16.82992,16.61992,0.18867631,0.13882624,0.10068837,0.07634894,0.05413235
432377755494017024,1237666407366000838,353.94012,-0.53747225,0.959999978542328,0.0,0,1,2.026482,6.671001,19.09299,17.2289,16.308044,15.865468,15.531659,0.19680552,0.14480764,0.10502657,0.07963847,0.05646467
433602610809825280,1237663784195260652,355.12924,0.16075,0.0320000015199184,0.9679999947547911,1,0,3.3653533,7.1086063,19.913626,18.257215,17.61419,17.204634,17.116247,0.16936053,0.12461387,0.09038038,0.068532705,0.04859054
433575123019130880,1237657191976665190,354.7514,0.7161111,1.0,0.0,0,1,2.5300286,7.772557,20.373104,18.263119,16.900043,16.378166,15.9793215,0.193983,0.14273086,0.10352032,0.07849633,0.055654872
842277071630657536,1237656243317702890,355.61908,15.706083,0.9629999995231628,0.0,0,1,2.1431453,6.5070066,18.885418,16.909386,15.98548,15.544176,15.202976,0.22169636,0.16312207,0.11830974,0.08971069,0.063606
