objid,svd_comp_1,svd_comp_2,svd_comp_3,svd_comp_4,svd_comp_5,svd_comp_6,svd_comp_7,svd_comp_8,svd_comp_9,svd_comp_10
1.2376526291004293e+18,1411.3548728197802,556.1946188178149,314.67962654248515,134.1279072936447,106.951388439352,58.801807568850094,51.00663447092062,41.867477550013206,38.32829673241957,37.192063392837476
1.2376727944993178e+18,1463.5579337962397,371.2653996212243,157.6704099559124,76.50803448333382,59.693473899538795,43.693328677279126,40.87370087945369,38.863502441027435,36.64102812113919,34.47245060591317
1.2376730183723912e+18,1714.1614327634888,183.89382240085197,154.80167339319382,126.08360809869079,92.58919527975158,67.78392705029722,51.06233567501962,49.796459699688704,43.44345991054194,39.48928853687264
1.2376727961101926e+18,1144.2575200273018,566.8033491180149,403.98754917163984,217.46389441944302,156.32274104716544,96.23894839346318,71.48388131640982,54.75841358012538,45.92293183794621,37.01756832119622
1.2376730178354545e+18,1680.4556351567426,711.9617051187378,402.84761954919315,185.88557198838103,118.40760360422907,71.43012103055581,52.015401043168104,47.226519095911456,45.30071407156955,42.68211730372393
1.237652629100233e+18,1426.5716628651605,217.99736842212494,133.03496582043456,111.46525405620123,88.33476103681616,78.44038963217858,64.28915622747213,51.14313218083791,46.473540182355705,42.01841807465656
1.2376727955729288e+18,1067.7289470553444,568.3321660787597,367.6793668803708,182.90417622854213,125.20244043635364,85.93289047727329,73.23452150575787,48.73291388824617,42.50010098887359,38.61879198169558
1.237672796109996e+18,1710.2358200725096,590.8673221816505,323.274420278013,145.45616081403605,101.93626163740373,74.86241764960076,57.17723906022154,54.10613221517972,42.24251419602168,39.41093753161699
1.2376529007498363e+18,1356.1491158697143,364.81982756409883,228.98018220108924,197.22099943422384,166.28618247759124,84.79047338266678,71.8729173590492,59.584836441456794,55.224665354492046,47.10120668042315
1.2376526291010194e+18,1843.2023067796038,452.2687556770456,343.78868931963035,143.6490372061953,82.57611907924482,71.9117155491742,68.31814836800831,60.786109590305216,54.490464613395595,52.411771568255716
1.2376526307115008e+18,1430.2745924874755,441.1362909354169,224.28416943866685,103.64824865905224,68.32743265702557,60.87941321908729,50.26297535979523,49.33661444555682,44.9008671765166,39.60067767378933
1.2376526296376937e+18,1319.8682303933049,347.5535234807099,200.87518652654418,97.52200753356342,84.36075474123014,66.25479722998432,63.20466436993533,62.51585060877938,46.95358366535523,44.19463244396957
1.237652946916737e+18,2723.3846341767617,210.24809266894863,159.18046327899071,138.8850714165328,112.99810784633233,70.00842084874444,61.63516827414035,49.54649750389546,47.24370793877706,45.062766503056814
1.237672796109144e+18,1714.9383245684735,185.01082941504595,101.14194546778768,57.28327294432838,55.08680252450316,50.67225362754231,47.82238436523648,45.16830118927864,41.045725750786175,40.46168286892624
1.237652630711632e+18,1259.299360062221,548.3316752640137,291.0915160745118,129.96119526708108,103.1283613997776,68.97169591938454,62.1001285615754,54.82148133359899,45.89327259824685,39.43019205990832
1.2376526291009536e+18,1750.692954762624,631.5595500387348,508.2171810383801,335.51306205367837,147.0775874766294,84.2385137279134,70.09523805546364,60.36181217046787,56.16362071840804,50.500600127914595
1.2376727961095373e+18,1921.298953187867,698.9049645326859,444.4488656864857,110.1245498581254,90.16772847887411,82.7007385845313,59.291312524944686,54.32024553203818,46.35833401657475,43.448224800478044
1.2376529485274153e+18,1418.2009392073305,601.4698543643617,223.4836678539962,124.34495379562655,98.98285844788096,86.22844696753495,69.05148603826113,60.72571453520288,53.77206290430107,51.17711654101071
1.2376529479904136e+18,2218.076840869561,835.5900966493803,474.1595599652388,284.0490958141015,208.60598847335638,98.02117030845152,78.34993149295718,65.38482777156064,62.72545048693618,57.44180044856899
1.2376529007501642e+18,1317.16832505462,643.776635442614,213.17117207479816,129.45872848425896,68.47427458024094,68.10636228482144,59.907917424189044,54.642335127558034,49.25638158444923,45.09801878923998
1.2376730167615163e+18,1483.5995873864772,368.9858412534316,211.140418379967,150.0743291995335,112.69137765435146,73.86341729001177,66.57132049623841,57.52346719803746,51.942111037309914,47.920261815610644
1.237672796109603e+18,1257.8034797035475,396.57462904147275,289.910701428348,176.25694565178273,115.88054467940148,84.78263832030471,62.16247341363574,51.258933277607724,43.35208717167749,42.14566825108439
1.2376727961095373e+18,2574.735822610328,252.53695801307575,164.93386437088492,133.32273649744462,120.31011479002426,108.74243577891491,91.17651453216689,59.80051758444574,48.50958467633605,40.2062956800037
1.2376727939623158e+18,1302.0628216480484,587.6811645279206,318.1920182952485,143.062929958542,112.99111349839929,52.24542362921845,51.96096926672061,46.50103615115759,40.435961936073454,34.581060392297275
1.237652630711239e+18,1521.7563074268476,188.82316535038575,121.74415544384419,109.2995317966224,73.7676421107679,63.976791067500095,55.35398885000967,50.60616279556318,44.103914936620335,41.08077782327715
1.2376529018241682e+18,1414.0714010204968,699.0982612914383,532.6239938133551,270.91759561274137,232.71415255792672,143.3547279276662,96.09504745210162,78.03758052916767,67.6175379044606,52.47243931027576
1.2376529469168684e+18,2216.3820271148347,346.0277237789971,205.02491135462807,119.33874361728603,83.30644673816222,78.67214026597432,65.44609862366475,55.18150788408039,48.03524049884133,46.375916567846474
1.2376529469169994e+18,1578.177895850718,333.0132613879234,135.51698695477316,108.26198779798837,97.03889817463211,68.00740499627454,62.73649794135968,60.64016595278083,53.71142787106308,51.47695448514681
1.2376529018239716e+18,2186.4606229313345,314.4421225682352,189.49225748849588,142.77941417767755,87.12986633910634,68.49035034771731,62.79210278032128,58.945548325832775,56.64668239474461,48.76603566800115
