specobjid,objid,ra,dec,p_el_debiased,p_cs_debiased,spiral,elliptical,petroR50_r,petroR90_r,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z
748824079737317376,1237652901833998462,28.092625,-8.195194,0.032999999821186,0.9670000076293944,1,0,3.4408753,7.5739393,18.640131,17.15981,16.380692,15.954298,15.638601,0.11483051,0.0844912,0.061280064,0.046466816,0.03294555
748761132696627200,1237652899149840519,28.6785,-10.358639,0.0390000008046627,0.9610000252723694,1,0,3.051167,7.05361,18.701092,17.376293,16.806925,16.446392,16.216085,0.10934301,0.08045355,0.058351625,0.04424627,0.031371158
747754529902061568,1237652901833605316,27.13575,-8.374222,0.9259999990463256,0.0379999987781047,0,1,2.5534914,8.200246,18.913773,16.975891,16.002178,15.616792,15.248025,0.15955813,0.11740135,0.08514926,0.064566106,0.04577817
748882078975682560,1237670957327122530,29.013624,-8.404,0.0920000001788139,0.9079999923706056,1,0,2.9196482,6.6829004,19.396482,18.238466,17.542982,17.213665,17.001255,0.11949826,0.08792569,0.06377104,0.04835565,0.03428476
748795492434995200,1237670955715854444,27.59521,-9.742917,0.0309999994933605,0.968999981880188,1,0,2.5349083,4.8092337,19.333,18.109152,17.44292,17.050459,16.827915,0.17912416,0.13179787,0.0955908,0.072483614,0.051391784
749929088604465152,1237652899687039040,29.4,-9.820723,0.0469999983906745,0.953000009059906,1,0,3.018065,5.542103,19.881088,18.246128,17.410824,16.9539,16.706474,0.1138034,0.08373546,0.06073194,0.046051193,0.03265087
749929363482372096,1237652899687104676,29.624125,-9.9105835,0.0149999996647238,0.9850000143051147,1,0,3.077799,7.3265824,18.319439,17.23771,16.679243,16.323294,16.074997,0.12024377,0.08847422,0.064168885,0.04865732,0.034498647
748786421464066048,1237670955715985594,27.949333,-9.769222,0.9070000052452089,0.0930000022053718,0,0,2.4861515,7.5764246,19.290905,17.327763,16.333878,15.909922,15.5569515,0.11412527,0.08397229,0.060903706,0.046181437,0.032743216
748891149946611712,1237679338955669636,29.170292,-7.8871946,0.9660000205039978,0.0,0,1,2.496581,7.8812647,20.655895,18.040956,16.905724,16.442472,16.080172,0.12612934,0.092804775,0.06730977,0.051038954,0.036187258
748770203667556352,1237652900223451269,28.297958,-9.572333,0.032999999821186,0.9509999752044678,1,0,2.6747966,5.773862,19.459133,18.140118,17.485062,17.123081,16.867815,0.12422451,0.091403216,0.06629324,0.050268155,0.03564075
748771852934998016,1237652900223516800,28.465666,-9.508417,0.006000000052154,0.9940000176429749,1,0,2.6996727,7.472415,19.254358,17.58159,16.723997,16.22227,15.833244,0.13062161,0.09611014,0.06970709,0.052856777,0.037476115
747768273797408768,1237670957326336136,27.19921,-8.606417,0.006000000052154,0.9940000176429749,1,0,3.1427336,8.024333,19.426273,18.09217,17.49737,17.153872,16.866364,0.13972425,0.10280778,0.07456477,0.05654021,0.040087715
749933486650976256,1237652900223844502,29.268875,-9.469944,0.0320000015199184,0.9290000200271606,1,0,3.5446787,7.8122787,18.390966,16.979918,16.268724,15.88117,15.61089,0.11438514,0.084163494,0.061042387,0.046286594,0.03281777
748828752661735424,1237670956789661888,27.701,-8.822306,0.0199999995529651,0.9139999747276306,1,0,3.4020894,8.287207,19.890995,18.15384,17.146526,16.699043,16.39694,0.12435216,0.09149713,0.06636135,0.050319806,0.03567737
748853216795453440,1237670956789727425,27.901667,-8.936277,0.0,0.9490000009536744,1,0,3.243415,6.390896,18.7016,17.542498,16.973454,16.636097,16.510603,0.13765769,0.10128722,0.07346194,0.055703964,0.039494805
748853766551267328,1237670956789792962,27.955791,-8.971778,0.0089999996125698,0.99099999666214,1,0,3.6721287,8.405982,19.684898,18.24999,17.455212,16.980398,16.660864,0.13390735,0.09852775,0.071460545,0.054186366,0.03841881
747741060884621312,1237679437737296043,27.07175,-8.195027,0.0179999992251396,0.953000009059906,1,0,2.4738395,6.48093,20.352919,18.491774,17.624168,17.097223,16.685537,0.13250929,0.09749907,0.07071446,0.053620636,0.038017698
749935135918417920,1237652900223910064,29.33575,-9.338472,0.0130000002682209,0.9869999885559082,1,0,3.1783075,6.571123,18.969202,17.669634,17.112104,16.751242,16.543324,0.12305774,0.090544716,0.06567058,0.04979601,0.03530599
748817757545457664,1237670957326401687,27.412582,-8.527972,0.0260000005364418,0.9739999771118164,1,0,2.71345,7.9377184,18.041796,16.615292,15.945836,15.52789,15.287893,0.14092803,0.10369351,0.07520718,0.05702733,0.040433086
748839472900106240,1237670957326598388,27.810333,-8.481527,0.0130000002682209,0.9869999885559082,1,0,3.4258265,7.6821127,18.447395,17.282322,16.622421,16.2405,15.962634,0.12695114,0.09340945,0.06774832,0.051371504,0.036423035
748778450004764672,1237652900760256610,28.170918,-9.150945,1.0,0.0,0,1,2.5404341,7.945415,18.539991,16.59735,15.741283,15.315795,14.9956875,0.1369637,0.10077659,0.07309159,0.05542314,0.039295696
452621963114866688,1237666407918338280,29.220709,-0.08502778,0.0260000005364418,0.9409999847412108,1,0,2.468958,6.4648423,19.899889,18.297922,17.583525,17.185814,16.802399,0.17685756,0.13013011,0.094381206,0.07156641,0.05074148
749923865924233216,1237652900760780907,29.386042,-9.066334,0.0109999999403953,0.9890000224113464,1,0,2.9901338,7.5502315,19.802298,18.408773,17.647633,17.161787,16.799706,0.12333262,0.09074697,0.065817274,0.049907245,0.03538486
453856990859388928,1237657071159803972,28.920458,0.21255556,0.0740000009536743,0.9259999990463256,1,0,2.7062979,6.9604273,19.33538,17.976624,17.375061,17.040457,16.860043,0.16792811,0.12355991,0.089615956,0.067953065,0.04817957
452670891382302720,1237657069548535945,27.534958,-0.88883334,0.0280000008642673,0.972000002861023,1,0,3.4868667,7.908773,19.343843,17.918602,17.283041,16.896109,16.600008,0.18007757,0.13249937,0.096099585,0.072869405,0.051665317
452727516231133184,1237657071159017584,27.114666,0.39394444,0.0529999993741512,0.9100000262260436,1,0,2.0417402,5.5495462,19.947458,18.161873,17.140194,16.600594,16.171608,0.20008275,0.14721899,0.10677549,0.080964625,0.057404928
749966471999809536,1237652900760911916,29.582125,-8.959917,0.0299999993294477,0.9110000133514404,1,0,2.195607,5.24003,18.727856,17.651644,17.128855,16.810822,16.67679,0.12033834,0.08854381,0.064219356,0.048695594,0.034525782
748857065086150656,1237652901297193066,28.194208,-8.7415,0.0260000005364418,0.9269999861717224,1,0,1.9861499,4.750762,20.27459,18.744091,17.764822,17.254448,16.899645,0.12488499,0.09188919,0.066645704,0.050535418,0.03583024
748858164597778432,1237652901297193160,28.30779,-8.626862,0.0299999993294477,0.9700000286102296,1,0,2.35492,5.557529,20.089237,18.703241,17.823404,17.34559,17.018925,0.11307737,0.08320125,0.06034449,0.045757398,0.032442566
452669791870674944,1237657069548667060,27.70679,-0.91316664,0.0850000008940696,0.915000021457672,1,0,1.928285,4.856595,20.269953,18.51012,17.502642,17.038593,16.725557,0.16031986,0.11796183,0.08555576,0.06487434,0.045996718
452671166260209664,1237657069548667170,27.743876,-0.9564722,0.0040000001899898,0.9959999918937684,1,0,2.6898022,6.3843923,19.651512,18.396362,17.688261,17.306728,17.0544,0.15748723,0.11587761,0.08404411,0.0637281,0.045184016
452704151609042944,1237678617429672115,27.08821,1.2273889,0.0549999997019767,0.9449999928474426,1,0,2.3665397,6.0564365,20.239489,18.61624,17.644257,17.13012,16.767088,0.13497157,0.0993108,0.07202847,0.05461701,0.038724143
749943382255626240,1237652901297651828,29.265917,-8.601084,0.930999994277954,0.0340000018477439,0,1,2.4766667,7.362623,20.918446,18.74871,17.416107,16.8931,16.553413,0.12999743,0.09565088,0.069373995,0.052604202,0.037297033
452712123068344320,1237678617429803218,27.295124,1.1415278,0.9490000009536744,0.0340000018477439,0,1,2.5915737,8.495207,19.757502,17.859495,16.61354,16.114573,15.786505,0.11924337,0.087738134,0.063635014,0.048252504,0.03421163
453851493301250048,1237678617430589677,29.17525,1.1139166,0.9319999814033508,0.0370000004768371,0,1,1.8958176,6.016375,19.074715,17.147326,16.191277,15.767619,15.415208,0.16400997,0.12067698,0.08752501,0.06636757,0.04705543
452714596969506816,1237678617429868685,27.424417,1.2004445,0.0439999997615814,0.9300000071525574,1,0,3.3682845,8.21684,18.777609,16.946497,16.048216,15.632069,15.350236,0.11700536,0.08609143,0.062440686,0.047346883,0.03356953
748899396283820032,1237652901297782881,29.533625,-8.532861,0.006000000052154,0.9940000176429749,1,0,3.0134072,7.7159224,19.513985,17.73025,16.762808,16.242477,15.801233,0.13058728,0.096084885,0.069688775,0.052842885,0.037466265
453852043057063936,1237678617430655079,29.217459,1.0744166,1.0,0.0,0,1,2.2133703,6.460371,19.111977,17.123884,16.213133,15.801411,15.479565,0.15787035,0.11615951,0.084248565,0.06388313,0.04529394
452658796754397184,1237666407917617242,27.515917,-0.17172222,0.0890000015497207,0.9110000133514404,1,0,2.334426,5.9964147,19.299389,17.656815,16.787443,16.361256,15.998926,0.17011103,0.12516607,0.09078088,0.06883639,0.04880586
748838923144292352,1237652901834129515,28.335917,-8.197722,0.0179999992251396,0.9819999933242798,1,0,2.3048725,6.4912267,20.274866,18.54846,17.561255,16.991909,16.550043,0.11146048,0.08201156,0.059481625,0.045103114,0.03197867
452655773097420800,1237666407917682779,27.771458,-0.024833333,0.0080000003799796,0.9919999837875366,1,0,3.830177,7.623227,19.487757,17.808405,16.853987,16.44281,16.10543,0.18291815,0.13458943,0.09761548,0.074018866,0.0524803
452655498219513856,1237666407917682782,27.780542,-0.18852778,0.0089999996125698,0.99099999666214,1,0,2.222466,6.8044047,19.881197,18.081387,17.122974,16.666925,16.322407,0.17954232,0.13210553,0.09581395,0.07265282,0.051511753
452748681829967872,1237657071159214249,27.563042,0.21725,0.0130000002682209,0.953000009059906,1,0,3.0382676,7.346686,19.680637,18.295393,17.74312,17.398413,17.338085,0.19154781,0.14093906,0.10222076,0.07751091,0.054956198
452752530120665088,1237657071159279727,27.73,0.25233334,0.0109999999403953,0.921999990940094,1,0,2.235446,5.2446947,18.574263,17.508429,17.197662,16.906406,16.890074,0.17998236,0.13242932,0.09604879,0.072830886,0.051638007
452690957469509632,1237663782598672528,27.226418,-1.1444167,0.0,1.0,1,0,2.9646764,7.130212,18.903435,17.682371,17.17249,16.87345,16.621786,0.18180649,0.13377148,0.09702224,0.07356903,0.05216136
748779824394299392,1237670955179180183,28.150667,-10.232028,0.0140000004321336,0.9860000014305116,1,0,3.911888,7.464164,18.39351,17.239,16.700382,16.367147,16.18262,0.12124866,0.08921362,0.064705156,0.04906396,0.03478696
452751430609037312,1237657071696085223,27.689459,0.79661113,1.0,0.0,0,1,2.6729343,8.300076,20.292896,18.3323,17.292416,16.83147,16.465769,0.13375354,0.09841458,0.07137846,0.054124128,0.03837468
452762150847408128,1237657071696281723,28.096125,0.77025,0.0140000004321336,0.9860000014305116,1,0,3.1888125,6.582064,19.175049,17.624657,16.782316,16.354383,16.005379,0.15539534,0.11433842,0.082927756,0.06288161,0.044583846
452664019434629120,1237663783135608910,27.28025,-0.6529722,0.0289999991655349,0.9710000157356262,1,0,4.0870414,8.243053,18.61551,17.312927,16.65582,16.301027,16.102644,0.17112161,0.12590966,0.09132019,0.06924533,0.049095802
453818782830323712,1237663782599524505,29.10525,-1.1693333,0.025000000372529,0.9390000104904176,1,0,3.4591777,7.262036,18.901226,17.784275,17.322828,17.065708,16.97319,0.14381157,0.10581518,0.076745994,0.058194164,0.041260388
453803939423348736,1237663782599524544,29.1815,-1.1939445,0.930999994277954,0.0340000018477439,0,1,2.2158866,7.2075596,21.13764,19.178663,17.692236,17.174772,16.827187,0.14489403,0.10661165,0.07732366,0.05863219,0.041570954
452712947702065152,1237678617429868889,27.498959,1.1921111,0.006000000052154,0.9940000176429749,1,0,3.2948828,7.8131037,20.094519,18.47327,17.615524,17.122879,16.85432,0.1159105,0.08528584,0.061856408,0.04690384,0.033255406
452724492574156800,1237678617429999796,27.764084,1.1710833,0.0529999993741512,0.9470000267028807,1,0,3.121926,5.9334855,18.78553,17.424913,16.78409,16.380074,16.146744,0.12288989,0.090421215,0.06558101,0.04972809,0.03525784
